"Reference","Qty","Value","Footprint","Datasheet"
"C1,C2","2","100nF","Capacitor_THT:C_Axial_L3.8mm_D2.6mm_P7.50mm_Horizontal","~"
"C3","1","680nF","Capacitor_THT:C_Axial_L3.8mm_D2.6mm_P7.50mm_Horizontal","~"
"D1,D2,D3,D4,D5,D6,D7,D8","8","1N4148","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf"
"J1","1","Conn_01x20_Pin","Connector_Molex:Molex_SL_171971-0020_1x20_P2.54mm_Vertical","~"
"LED1","1","GREEN","LED_THT:LED_D1.8mm_W1.8mm_H2.4mm_Horizontal_O1.27mm_Z1.6mm","~"
"LED2","1","RED","LED_THT:LED_D1.8mm_W1.8mm_H2.4mm_Horizontal_O1.27mm_Z1.6mm","~"
"R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14","14","1k","Resistor_THT:R_Axial_DIN0411_L9.9mm_D3.6mm_P12.70mm_Horizontal","~"
"SW1","1","CC","Connector_Coaxial:CoaxialSwitch_Hirose_MS-156C3_Horizontal","~"
"SW2","1","УС","Connector_Coaxial:CoaxialSwitch_Hirose_MS-156C3_Horizontal","~"
"SW3","1","РУС","Connector_Coaxial:CoaxialSwitch_Hirose_MS-156C3_Horizontal","~"
"SW4","1","0","Connector_Coaxial:CoaxialSwitch_Hirose_MS-156C3_Horizontal","~"
"SW5","1","1","Connector_Coaxial:CoaxialSwitch_Hirose_MS-156C3_Horizontal","~"
"SW6","1","2","Connector_Coaxial:CoaxialSwitch_Hirose_MS-156C3_Horizontal","~"
"SW7","1","3","Connector_Coaxial:CoaxialSwitch_Hirose_MS-156C3_Horizontal","~"
"SW8","1","4","Connector_Coaxial:CoaxialSwitch_Hirose_MS-156C3_Horizontal","~"
"SW9","1","5","Connector_Coaxial:CoaxialSwitch_Hirose_MS-156C3_Horizontal","~"
"SW10","1","6","Connector_Coaxial:CoaxialSwitch_Hirose_MS-156C3_Horizontal","~"
"SW11","1","7","Connector_Coaxial:CoaxialSwitch_Hirose_MS-156C3_Horizontal","~"
"SW12","1","8","Connector_Coaxial:CoaxialSwitch_Hirose_MS-156C3_Horizontal","~"
"SW13","1","9","Connector_Coaxial:CoaxialSwitch_Hirose_MS-156C3_Horizontal","~"
"SW14","1","*","Connector_Coaxial:CoaxialSwitch_Hirose_MS-156C3_Horizontal","~"
"SW15","1","+","Connector_Coaxial:CoaxialSwitch_Hirose_MS-156C3_Horizontal","~"
"SW16","1","<","Connector_Coaxial:CoaxialSwitch_Hirose_MS-156C3_Horizontal","~"
"SW17","1","=","Connector_Coaxial:CoaxialSwitch_Hirose_MS-156C3_Horizontal","~"
"SW18","1",">","Connector_Coaxial:CoaxialSwitch_Hirose_MS-156C3_Horizontal","~"
"SW19","1","?","Connector_Coaxial:CoaxialSwitch_Hirose_MS-156C3_Horizontal","~"
"SW20","1","@","Connector_Coaxial:CoaxialSwitch_Hirose_MS-156C3_Horizontal","~"
"SW21","1","A","Connector_Coaxial:CoaxialSwitch_Hirose_MS-156C3_Horizontal","~"
"SW22","1","B","Connector_Coaxial:CoaxialSwitch_Hirose_MS-156C3_Horizontal","~"
"SW23","1","C","Connector_Coaxial:CoaxialSwitch_Hirose_MS-156C3_Horizontal","~"
"SW24","1","D","Connector_Coaxial:CoaxialSwitch_Hirose_MS-156C3_Horizontal","~"
"SW25","1","E","Connector_Coaxial:CoaxialSwitch_Hirose_MS-156C3_Horizontal","~"
"SW26","1","F","Connector_Coaxial:CoaxialSwitch_Hirose_MS-156C3_Horizontal","~"
"SW27","1","G","Connector_Coaxial:CoaxialSwitch_Hirose_MS-156C3_Horizontal","~"
"SW28","1","H","Connector_Coaxial:CoaxialSwitch_Hirose_MS-156C3_Horizontal","~"
"SW29","1","I","Connector_Coaxial:CoaxialSwitch_Hirose_MS-156C3_Horizontal","~"
"SW30","1","J","Connector_Coaxial:CoaxialSwitch_Hirose_MS-156C3_Horizontal","~"
"SW31","1","K","Connector_Coaxial:CoaxialSwitch_Hirose_MS-156C3_Horizontal","~"
"SW32","1","L","Connector_Coaxial:CoaxialSwitch_Hirose_MS-156C3_Horizontal","~"
"SW33","1","M","Connector_Coaxial:CoaxialSwitch_Hirose_MS-156C3_Horizontal","~"
"SW34","1","N","Connector_Coaxial:CoaxialSwitch_Hirose_MS-156C3_Horizontal","~"
"SW35","1","O","Connector_Coaxial:CoaxialSwitch_Hirose_MS-156C3_Horizontal","~"
"SW36","1","P","Connector_Coaxial:CoaxialSwitch_Hirose_MS-156C3_Horizontal","~"
"SW37","1","Q","Connector_Coaxial:CoaxialSwitch_Hirose_MS-156C3_Horizontal","~"
"SW38","1","R","Connector_Coaxial:CoaxialSwitch_Hirose_MS-156C3_Horizontal","~"
"SW39","1","S","Connector_Coaxial:CoaxialSwitch_Hirose_MS-156C3_Horizontal","~"
"SW40","1","T","Connector_Coaxial:CoaxialSwitch_Hirose_MS-156C3_Horizontal","~"
"SW41","1","U","Connector_Coaxial:CoaxialSwitch_Hirose_MS-156C3_Horizontal","~"
"SW42","1","V","Connector_Coaxial:CoaxialSwitch_Hirose_MS-156C3_Horizontal","~"
"SW43","1","W","Connector_Coaxial:CoaxialSwitch_Hirose_MS-156C3_Horizontal","~"
"SW44","1","X","Connector_Coaxial:CoaxialSwitch_Hirose_MS-156C3_Horizontal","~"
"SW45","1","Y","Connector_Coaxial:CoaxialSwitch_Hirose_MS-156C3_Horizontal","~"
"SW46","1","Z","Connector_Coaxial:CoaxialSwitch_Hirose_MS-156C3_Horizontal","~"
"SW47","1","[","Connector_Coaxial:CoaxialSwitch_Hirose_MS-156C3_Horizontal","~"
"SW48","1","\","Connector_Coaxial:CoaxialSwitch_Hirose_MS-156C3_Horizontal","~"
"SW49","1","]","Connector_Coaxial:CoaxialSwitch_Hirose_MS-156C3_Horizontal","~"
"SW50","1","^","Connector_Coaxial:CoaxialSwitch_Hirose_MS-156C3_Horizontal","~"
"SW51","1","_","Connector_Coaxial:CoaxialSwitch_Hirose_MS-156C3_Horizontal","~"
"SW52","1","Space","Connector_Coaxial:CoaxialSwitch_Hirose_MS-156C3_Horizontal","~"
"SW53","1","Right","Connector_Coaxial:CoaxialSwitch_Hirose_MS-156C3_Horizontal","~"
"SW54","1","Left","Connector_Coaxial:CoaxialSwitch_Hirose_MS-156C3_Horizontal","~"
"SW55","1","Up","Connector_Coaxial:CoaxialSwitch_Hirose_MS-156C3_Horizontal","~"
"SW56","1","Down","Connector_Coaxial:CoaxialSwitch_Hirose_MS-156C3_Horizontal","~"
"SW57","1","ВК","Connector_Coaxial:CoaxialSwitch_Hirose_MS-156C3_Horizontal","~"
"SW58","1","СТР","Connector_Coaxial:CoaxialSwitch_Hirose_MS-156C3_Horizontal","~"
"SW59","1","Home","Connector_Coaxial:CoaxialSwitch_Hirose_MS-156C3_Horizontal","~"
"U1","1","580вв55","Package_DIP:DIP-40_W15.24mm_LongPads","http://aturing.umcs.maine.edu/~meadow/courses/cos335/Intel8255A.pdf"
"U2","1","155тм2","Package_DIP:DIP-14_W7.62mm_LongPads","74xx/74hc_hct74.pdf"
"U3","1","155лн1","Package_DIP:DIP-14_W7.62mm_LongPads","http://www.ti.com/lit/gpn/sn74LS04"
"U4","1","155ла4","Package_DIP:DIP-14_W7.62mm_LongPads","http://www.ti.com/lit/gpn/sn74LS10"
